quad,distance,beach,city,management,region
blue_1,2,Bluestone,bamfield,Indigenous,vancouver_island
blue_2,24,Bluestone,bamfield,Indigenous,vancouver_island
blue_3,25,Bluestone,bamfield,Indigenous,vancouver_island
blue_4,31,Bluestone,bamfield,Indigenous,vancouver_island
blue_5,35,Bluestone,bamfield,Indigenous,vancouver_island
blue_6,39,Bluestone,bamfield,Indigenous,vancouver_island
dunbar_1,6,Dunbar,vancouver,None,vancouver
dunbar_2,14,Dunbar,vancouver,None,vancouver
dunbar_3,20,Dunbar,vancouver,None,vancouver
dunbar_4,7,Dunbar,vancouver,None,vancouver
dunbar_5,17,Dunbar,vancouver,None,vancouver
dunbar_6,23,Dunbar,vancouver,None,vancouver
whyte_1,17,Whytecliff,west_vancouver,MPA,vancouver
whyte_2,5,Whytecliff,west_vancouver,MPA,vancouver
whyte_3,15,Whytecliff,west_vancouver,MPA,vancouver
whyte_4,20,Whytecliff,west_vancouver,MPA,vancouver
whyte_5,3,Whytecliff,west_vancouver,MPA,vancouver
whyte_6,10,Whytecliff,west_vancouver,MPA,vancouver
hornby_1,9,Collishaw,hornby_island,None,vancouver_island
hornby_2,3,Collishaw,hornby_island,None,vancouver_island
hornby_3,18,Collishaw,hornby_island,None,vancouver_island
hornby_4,6,Collishaw,hornby_island,None,vancouver_island
hornby_5,11,Collishaw,hornby_island,None,vancouver_island
hornby_6,21,Collishaw,hornby_island,None,vancouver_island
