quadrat,periwinkle,black_turban,whelks,chitons,limpets,hermit_crabs,porcelain_crabs,shore_crabs,aggregating_anemones,giant_green_anemone,ochre_star,leather_star,mussels,sponges,ascidians,barnacles,bryozoans,green_ribbon_worm,striped_green_sea_anemone,nereid_worm,amphipod,oregon_pillbug,oyster
blue_1,13,0,1,0,6,0,0,0,3,2,0,0,38,0,0,33,0,0,0,0,0,0,0
blue_2,2,0,0,0,8,0,0,0,11,0,0,0,44,1,0,22,0,0,0,0,0,0,0
blue_3,3,0,0,0,4,0,0,0,56,0,0,0,0,6,0,5,0,0,0,0,0,0,0
blue_4,5,0,0,0,18,0,0,0,23,0,0,0,12,1,0,47,0,0,0,0,0,0,0
blue_5,0,0,0,0,6,0,0,0,53,0,0,0,1,0,0,17,0,0,0,0,0,0,0
blue_6,0,0,0,0,0,0,0,0,29,2,3,0,0,10,1,1,1,0,0,0,0,0,0
dunbar_1,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,23,0,2,0,0,0,0,0
dunbar_2,2,0,0,0,6,1,0,16,0,0,0,0,35,0,0,60,0,6,39,1,19,0,0
dunbar_3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,0
dunbar_4,1,0,0,0,3,2,0,12,0,0,0,0,40,0,0,12,0,3,0,0,17,0,0
dunbar_5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,90,0,3,3,0,2,0,0
dunbar_6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
whyte_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,13,6,0
whyte_2,0,0,0,0,0,9,0,5,0,0,0,0,1,0,0,20,0,0,0,0,6,2,0
whyte_3,0,0,0,0,1,17,0,10,0,0,0,0,5,0,0,30,0,3,0,0,3,0,0
whyte_4,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,50,0,0,0,0,3,0,0
whyte_5,0,0,0,0,0,20,0,5,0,0,0,0,10,0,0,80,0,0,0,0,3,0,0
whyte_6,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,40,0,0,0,0,2,3,0
hornby_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
hornby_2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
hornby_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,6
hornby_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
hornby_5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
hornby_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,9
