Mussels,Eelgrass,Obelia,Diatoms,Barnacles,Shrimp,Green_algae,Anemone,Limpet,Tunicate,Brown_algae
0,0,75,0,1,0,0,0,0,0,0
0,0,90,0,0,0,0,0,0,0,0
70,0,5,0,0,0,0,0,0,0,3
70,0,10,0,0,0,0,0,0,1,7
65,0,35,0,0,0,0,0,0,0,0
35,0,60,0,0,0,0,0,0,0,5
80,0,20,0,1,0,0,0,0,0,0
68,0,25,0,0,0,0,0,0,0,7
56,1,40,0,4,0,0,0,0,0,0
83,0,10,0,7,0,0,0,0,0,0
84,0,7,0,4,0,0,0,0,5,0
87,0,6,0,4,0,0,0,0,3,0
78,0,7,0,7,0,0,0,0,8,0
86,0,4,0,6,0,0,0,0,4,0
80,0,7,0,7,0,0,0,0,6,0
81,0,10,0,5,0,0,0,0,4,0
85,0,5,0,6,0,0,0,0,4,0
81,0,4,0,15,0,0,0,0,0,0
5,2,82,10,1,0,0,0,0,0,0
0,1,99,0,0,0,0,0,0,0,0
15,2,76,7,0,0,0,0,0,0,0
15,3,70,10,1,0,1,0,0,0,0
10,1,0,88,0,1,0,0,0,0,0
46,2,0,46,1,0,0,0,0,0,5
8,2,1,86,0,0,0,0,1,0,2
5,1,0,93,0,0,0,0,0,0,1
20,1,0,64,0,0,0,0,0,0,15
57,1,5,20,1,1,0,0,0,0,15
68,1,4,5,2,0,0,0,0,0,20
52,2,5,10,1,0,0,0,0,0,30
46,2,30,10,2,0,0,0,0,0,10
38,1,20,5,5,1,0,0,0,0,30
39,2,20,5,1,1,1,1,0,0,30
10,5,3,5,1,1,1,0,0,0,74
5,1,1,20,1,0,1,0,0,0,71
36,1,10,20,2,0,0,0,1,0,30
